NOTES;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;POLSKI;JAPANESE;KOREAN (한국어);简体中文;繁體中文;final column.
;NUMPAD 0;PAVÉ NUM. 0;ZIFBLK 0;T. NUM. 0;TASTNUM 0;0#(TECLADO#NUMÉRICO);NUMPAD 0;NUMPAD 0;NUMPAD 0;숫자패드 0;数字键 0;數字0鍵;
;NUMPAD 1;PAVÉ NUM. 1;ZIFBLK 1;T. NUM. 1;TASTNUM 1;1#(TECLADO#NUMÉRICO);NUMPAD 1;NUMPAD 1;NUMPAD 1;숫자패드 1;数字键 1;數字1鍵;
;NUMPAD 2;PAVÉ NUM. 2;ZIFBLK 2;T. NUM. 2;TASTNUM 2;2#(TECLADO#NUMÉRICO);NUMPAD 2;NUMPAD 2;NUMPAD 2;숫자패드 2;数字键 2;數字2鍵;
;NUMPAD 3;PAVÉ NUM. 3;ZIFBLK 3;T. NUM. 3;TASTNUM 3;3#(TECLADO#NUMÉRICO);NUMPAD 3;NUMPAD 3;NUMPAD 3;숫자패드 3;数字键 3;數字3鍵;
;NUMPAD 4;PAVÉ NUM. 4;ZIFBLK 4;T. NUM. 4;TASTNUM 4;4#(TECLADO#NUMÉRICO);NUMPAD 4;NUMPAD 4;NUMPAD 4;숫자패드 4;数字键 4;數字4鍵;
;NUMPAD 5;PAVÉ NUM. 5;ZIFBLK 5;T. NUM. 5;TASTNUM 5;5#(TECLADO#NUMÉRICO);NUMPAD 5;NUMPAD 5;NUMPAD 5;숫자패드 5;数字键 5;數字5鍵;
;NUMPAD 6;PAVÉ NUM. 6;ZIFBLK 6;T. NUM. 6;TASTNUM 6;6#(TECLADO#NUMÉRICO);NUMPAD 6;NUMPAD 6;NUMPAD 6;숫자패드 6;数字键 6;數字6鍵;
;NUMPAD 7;PAVÉ NUM. 7;ZIFBLK 7;T. NUM. 7;TASTNUM 7;7#(TECLADO#NUMÉRICO);NUMPAD 7;NUMPAD 7;NUMPAD 7;숫자패드 7;数字键 7;數字7鍵;
;NUMPAD 8;PAVÉ NUM. 8;ZIFBLK 8;T. NUM. 8;TASTNUM 8;8#(TECLADO#NUMÉRICO);NUMPAD 8;NUMPAD 8;NUMPAD 8;숫자패드 8;数字键 8;數字8鍵;
;NUMPAD 9;PAVÉ NUM. 9;ZIFBLK 9;T. NUM. 9;TASTNUM 9;9#(TECLADO#NUMÉRICO);NUMPAD 9;NUMPAD 9;NUMPAD 9;숫자패드 9;数字键 9;數字9鍵;
;RIGHT CTRL;CTRL DROITE;STRG RECHTS;CTRL DCHA.;CTRL DES.;CTRL DIR.;ПРАВЫЙ CTRL;PRAWY CTRL;RIGHT CTRL;우측 컨트롤;右CTRL键;右CTRL;
;LEFT CTRL;CTRL GAUCHE;STRG LINKS;CTRL IZDA.;CTR SIN.;CTRL ESQ.;ЛЕВЫЙ CTRL;LEWY CTRL;LEFT CTRL;좌측 컨트롤;左CTRL键;左CTRL;
;LEFT;FLÈCHE GAUCHE;LINKS;IZQUIERDA;SINISTRA;ESQ.;ВЛЕВО;LEWO;LEFT;방향키 좌;左键;離開;
;ESCAPE;ÉCHAP;ESC;ESC;ESC;ESC;ESCAPE;ESCAPE;ESCAPE;ESCAPE;ESC键;退出;
;BACKSPACE;RETOUR ARRIÈRE;RÜCKTASTE;RETROCESO;BACKSPACE;BACKSPACE;BACKSPACE;BACKSPACE;BACKSPACE;BACKSPACE;BACKSPACE键;退格;
;RIGHT ALT;ALT DROITE;ALT RECHTS;ALT DCHA.;ALT DESTRA;ALT DIR.;ПРАВЫЙ ALT;PRAWY ALT;RIGHT ALT;우측 알트;右ALT键;右ALT;
;LEFT ALT;ALT GAUCHE;ALT LINKS;ALT IZDA.;ALT SINISTRA;ALT ESQ.;ЛЕВЫЙ ALT;LEWY ALT;LEFT ALT;좌측 알트;左ALT键;左ALT;
;RIGHT;FLÈCHE DROITE;RECHTS;DERECHA;DESTRA;DIR.;ВПРАВО;PRAWO;RIGHT;방향키 우;右键;右;
;UP;FLÈCHE HAUT;RAUF;ARRIBA;SU;CIMA;ВВЕРХ;GÓRA;UP;방향키 상;上键;上;
;DOWN;FLÈCHE BAS;RUNTER;ABAJO;GIÙ;BAIXO;ВНИЗ;DÓŁ;DOWN;방향키 하;下键;下;
;SPACE;ESPACE;LEERTASTE;ESPACIO;BARRA SPAZ.;ESPAÇO;ПРОБЕЛ;SPACJA;SPACE;스페이스;空格;空格;
;LEFT SHIFT;MAJ GAUCHE;UMSCHALTTASTE LINKS;MAYÚS IZDA.;MAIUSC SIN.;SHIFT ESQ.;ЛЕВЫЙ SHIFT;LEWY SHIFT;LEFT SHIFT;좌측 시프트;左SHIFT键;左SHIFT;
;RIGHT SHIFT;MAJ DROITE;UMSCHALTTASTE RECHTS;MAYÚS DCHA.;MAIUSC DES.;SHIFT DIR.;ПРАВЫЙ SHIFT;PRAWY SHIFT;RIGHT SHIFT;우측 시프트;右SHIFT键;右SHIFT;
;ENTER;ENTRÉE;ENTER;INTRO;INVIO;ENTER;ENTER;ENTER;ENTER;엔터;回车键;回車;
;END;FIN;ENDE;FIN;FINE;END;END;END;END;END;结束;結束;
;HOME;ORIGINE;POS1;INICIO;HOME;HOME;HOME;HOME;HOME;HOME;主屏幕;主螢幕;
;@ CONFIRM;@ CONFIRMER;@ BESTÄTIGEN;@ CONFIRMAR;@ CONFERMA;@ CONFIRMAR;@ ПОДТВЕРДИТЬ;@ POTWIERDŹ;@ OK;확인: @; @ 确认; @ 確認;
;CONTINUE;REPRENDRE;FORTSETZEN;CONTINUAR;CONTINUA;CONTINUAR;ПРОДОЛЖИТЬ;KONT.;コンティニュー;이어하기;继续;繼續;
;CONTINUE YOUR ADVENTURE;REPRENDRE L'AVENTURE;DAS ABENTEUER FORTSETZEN;CONTINÚA TU AVENTURA;CONTINUA AVVENTURA;CONTINUE SUA AVENTURA;ПРОДОЛЖИ СВОЕ ПРИКЛЮЧЕНИЕ;KONTYNUUJ PRZYGODĘ;ぼうけんを つづける;당신의 모험을 계속합니다;继续冒险;繼續探險;
;ITEMS;OBJETS;GEGENSTÄNDE;OBJETOS;OGGETTI;ITENS;ПРЕДМЕТЫ;PRZEDM.;アイテム;아이템;道具;物品;
;CHECK YOUR COLLECTED ITEMS;CONSULTER L'INVENTAIRE;DIE GESAMMELTEN GEGENSTÄNDE ANSEHEN;CONSULTA LOS OBJETOS RECOGIDOS;VEDI OGGETTI RACCOLTI;VEJA SEUS ITENS OBTIDOS;ПРОВЕРЬ СВОИ СОБРАННЫЕ ПРЕДМЕТЫ;SPRAWDŹ ZEBRANE PRZEDMIOTY;あつめたアイテムを みる;모은 아이템들을 확인합니다;查看收集道具;檢查收藏物品;
;QUIT;QUITTER;BEENDEN;SALIR;ESCI;SAIR;ВЫЙТИ;WYJŚCIE;やめる;나가기;退出;放棄;
;QUIT TO THE MAIN MENU;REVENIR AU MENU PRINCIPAL;INS HAUPTMENÜ ZURÜCKKEHREN;SAL AL MENÚ PRINCIPAL;TORNA AL MENU PRINCIPALE;SAIR PARA O MENU#PRINCIPAL;ВЫХОД В ГЛАВНОЕ МЕНЮ;WYJDŹ DO GŁÓWNEGO MENU;メインメニューへ もどる;메인 메뉴로 나갑니다;退出至主菜单;放棄回到主菜單;
;PAUSED;JEU EN PAUSE;PAUSE;EN PAUSA;IN PAUSA;PAUSADO;ПАУЗА;PAUZA;ポーズ;일시 정지;已暂停;暫停;
;@ BACK;@ RETOUR;@ ZURÜCK;@ ATRÁS;@ INDIETRO;@ VOLTAR;@ НАЗАД;@ POWRÓT;@ もどる;뒤로: @;@ 返回; @返回;
;NO ITEMS;AUCUN OBJET;KEINE GEGENSTÄNDE;SIN OBJETOS;NESSUN OGGETTO;SEM ITENS;НЕТ ПРЕДМЕТОВ;BRAK PRZEDMIOTÓW;アイテムを もっていません;아이템 없음;没有道具;沒有物品;
;???;???;???;¿?;???;???;???;???;???;???;？？？;???;
;MYSTERIOUS CURSE;MYSTÉRIEUSE MALÉDICTION;GEHEIMNISVOLLER FLUCH;MALDICIÓN MISTERIOSA;MALEDIZIONE MISTERIOSA;MALDIÇÃO#MISTERIOSA;ТАИНСТВЕННОЕ ПРОКЛЯТЬЕ;TAJEMNICZA KLĄTWA;ふしぎな のろい;불가사의한 저주;神秘诅咒;神秘詛咒;
;???;???;???;¿?;???;???;???;????;???;???;？？？;???;
;SWORD;ÉPÉE;SCHWERT;ESPADA;SPADA;ESPADA;МЕЧ;MIECZ;つるぎ;검;剑 ;劍;
;IT'S CURSED!;ELLE EST MAUDITE !;ES IST VERFLUCHT!;¡ESTÁ MALDITA!;È MALEDETTA!;AMALDIÇOADA!;ОН ПРОКЛЯТ!;JEST PRZEKLĘTY!;これぞ まさに のろいだ!;저주받았습니다!;它带诅咒！;受到詛咒;
;COFFEE;CAFÉ;KAFFEE;CAFÉ;CAFFÈ;CAFÉ;КОФЕ;KAWA;コーヒー;커피;咖啡 ;咖啡;
;A GOOD WAY TO START THE DAY!#ALLOWS YOU TO PUSH BOXES.;L'IDÉAL POUR BIEN#DÉBUTER LA JOURNÉE !#CELA TE PERMET DE#DÉPLACER LES CAISSES.;SO BEGINNT MAN DEN TAG!#ERMÖGLICHT DAS SCHIEBEN VON KISTEN.;¡UN BUEN MODO DE EMPEZAR EL DÍA!#PERMITE EMPUJAR CAJAS.;UN BUON MODO DI INIZIARE LA GIORNATA!#POTRAI SPINGERE LE CASSE.;ÓTIMO PARA COMEÇAR O DIA!#DÁ ENERGIA PARA MOVER CAIXAS.;ОТЛИЧНОЕ НАЧАЛО ДНЯ!#ПОЗВОЛЯЕТ ТЕБЕ ТОЛКАТЬ ЯЩИКИ.;DOBRY SPOSÓB NA ROZPOCZĘCIE DNIA!#UMOŻLIWIA PRZESUWANIE SKRZYŃ.;これがないと いちにちが はじまらない!#ボックスの いどうに やくにたつ;하루를 시작하는 멋진 방식이죠!#상자를 밀 수 있게 됩니다.;美好的一天从它开始！#能让你推动箱子。;開始一天的好方法#允許推箱子;
;FLASHLIGHT;LAMPE TORCHE;TASCHENLAMPE;LINTERNA;TORCIA;LANTERNA;ФОНАРЬ;LATARKA;フラッシュライト;손전등;手电筒 ;手電筒;
;WHY DON'T PEOPLE#LIGHT THEIR DUNGEONS?;POURQUOI LES GENS#N'ÉCLAIRENT-ILS PAS LEURS DONJONS ?;WARUM IST IN VERLIESEN#KEINE GUTE BELEUCHTUNG?;¿POR QUÉ LA GENTE NO ILUMINA#SUS MAZMORRAS?;PERCHÉ LA GENTE NON#ILLUMINA I DUNGEON?;POR QUE OS LABIRINTOS#SÃO SEMPRE ESCUROS?;ПОЧЕМУ ЛЮДИ НЕ ОСВЕЩАЮТ#СВОИ ПОДЗЕМЕЛЬЯ?;CZEMU LUDZIE#NIE OŚWIETLAJĄ SWOICH LOCHÓW?;ダンジョンって きほん #まっくらなんでしょう?;왜 다들#던전을 밝히지 않는 걸까요?;为啥人们不把地牢搞亮点呢？;為什麼#不照亮地牢?;
;FLIPPERS;PALMES;FLOSSEN;ALETAS;PINNE;NADADEIRA;ЛАСТЫ;PŁETWY;みずかき;오리발;脚蹼 ;腳蹼;
;VERY USEFUL FOR SWIMMING.#(CAREFUL IN POLLUTED WATER);TRÈS PRATIQUES POUR NAGER.#(PRUDENCE EN EAUX POLLUÉES);HILFREICH BEIM SCHWIMMEN.#(VORSICHT IN VERSEUCHTEM WASSER);MUY ÚTILES PARA NADAR.#(¡OJO EN AGUAS CONTAMINADAS!);UTILISSIME PER NUOTARE.#(ATTENZIONE ALLE ACQUE INQUINATE);MUITO ÚTIL PARA NADAR.#(CUIDADO COM A ÁGUA POLUÍDA);ПОЛЕЗНЫ ДЛЯ ПЛАВАНИЯ.#(БУДЬ ОСТОРОЖНЕЕ В ГРЯЗНОЙ ВОДЕ);BARDZO PRZYDATNE W PŁYWANIU.#(W SKAŻONEJ WODZIE PŁYWAJ OSTROŻNIE);およぐときに だいかつやく#(よごれた すいちゅうは ようちゅうい);수영할 때 아주 유용합니다.#(오염된 물은 조심하세요);对游泳很有帮助。#（要小心污水）;對游泳很有幫助#(在污水中請小心使用);
;LIGHTHOUSE KEY;CLEF DU PHARE;LEUCHTTURM-SCHLÜSSEL;LLAVE DEL FARO;CHIAVE DEL FARO;CHAVE DO FAROL;КЛЮЧ ОТ МАЯКА;KLUCZ DO LATARNI;とうだいの カギ;등대 열쇠;灯塔钥匙 ;燈塔鑰匙;
;NO LIGHTHOUSE DOOR CAN STOP YOU NOW.;AUCUNE PORTE DE PHARE#NE TE RÉSISTERA.;KEINE LEUCHTTURMTÜR KANN#UNS JETZT NOCH AUFHALTEN.;LA PUERTA DEL FARO NO VA A DETENERTE.;LA PORTA DEL FARO NON TI FERMERÀ.;NENHUMA PORTA DE FAROL IRÁ DETER VOCÊ.;ПЕРЕД ТОБОЙ НЕ УСТОИТ НИ ОДНА ДВЕРЬ.;DRZWI LATARNI JUŻ CIĘ NIE ZATRZYMAJĄ.;とうだい もとくらし とは おさらば;이제 등대의 문도 당신을 막을 수 없습니다.;现在没有灯塔门能阻挡你了。;現在沒有燈塔門能夠阻擋你;
